Hot Spot,"""Time (microseconds)""","""Average Time (microseconds)""","""Events"""
"SELECT {+index(CC_STMT_STATS cc_stmt_sts_pki)} C.CARD_NO, C.CARD_SRNO, CCA.CREDIT_LIMIT,CCA.BANKRUPT_STATUS, CCA.CASH_ADV_LIMIT, CCA.OVERDRAFT_LIMIT, CCA.OVERDRAFT_APR, CCA.PENALITY_APR, CCA.NEXT_STMT_DATE, CCA.DAYS_OF_DUE_DATE, CCA.NCONS_NON_PAYMENTS, CCA.APPLY_PENALITY_APR, CCSS.STMT_STATUS, CCSS.STATEMENT_DATE, CCSS.STMT_BALANCE, CCSS.MIN_PAYMENT, CCSS.STMT_PAYMENT_AMT, C.CARD_PRG_ID, CCSS.CASH_ADV_BAL, CCSS.STMT_CA_PAYT_AMT, CCA.LAST_OD_FEE_ON, CCA.LAST_STMT_DATE, C.CREATED_ON, C.FIRST_ACT_ON, CCA.INTRO_APR_TRM_MNTH, CCA.STMT_DAY_OF_MONTH, CCSS.BILLING_CYCLE_NO, C.CARD_STATUS_ATM, CCSS.DUE_DATE , CMF.FOLLOWME_CARD_SRNO, C.SRC_CARD_NO, C.CARD_DETAIL_STATUS, CCSS.STMT_START_DATE, CCSS.STMT_CLOSING_DATE, CF.LEDGER_BALANCE, ( SELECT CARD_SRNO FROM CARDS WHERE CARD_NO = C.SRC_CARD_NO), PREV_STMT.STMT_STATUS PREV_STMT_STATUS, CCA.SCHD_EXE_FLAG, CCSS.PREV_STMT_DATE, PREV_STMT.STMT_BALANCE PREV_STMT_BALANCE, PREV_STMT.STMT_PAYMENT_AMT, CCA.STMT_INTRVL_DAYS, CCA.SOLD_CHRGOFF_DATE   FROM CARD_CREDIT_ATTRS CCA INNER JOIN CARDS C ON C.CARD_SRNO = CCA.CARD_SRNO LEFT JOIN CC_STMT_STATS CCSS ON CCA.CARD_SRNO = CCSS.CARD_SRNO AND CCSS.STATEMENT_DATE = CCA.LAST_STMT_DATE LEFT JOIN CC_STMT_STATS PREV_STMT ON PREV_STMT.STATEMENT_DATE = CCSS.PREV_STMT_DATE AND PREV_STMT.CARD_SRNO = C.CARD_SRNO INNER JOIN CARD_MORE_INFOS CMF ON C.CARD_SRNO = CMF.CARD_SRNO LEFT JOIN CARD_FUNDS CF ON CF.CARD_NO = C.CARD_NO  WHERE CCA.CARD_SRNO BETWEEN ? AND ? AND C.IS_MAIN_CARD = 'Y' AND C.card_category = 'C' AND (( C.CARD_STATUS_ATM NOT IN ('F',  'A') AND C.CARD_STATUS_POS NOT IN ('F',  'A')) OR (( CF.LAST_FIN_ACTY_ON IS NOT NULL OR C.SRC_CARD_NO IS NOT NULL OR C.FIRST_ACT_ON IS NOT NULL) AND CMF.FOLLOWME_CARD_SRNO IS NULL AND C.CARD_STATUS_ATM = 'A' AND C.CARD_STATUS_POS = 'A') OR ( (CF.LAST_FIN_ACTY_ON IS NOT NULL OR C.FIRST_ACT_ON IS NOT NULL OR CCA.LAST_STMT_DATE IS NOT NULL) AND ( CCA.LAST_STMT_DATE IS NULL OR CF.LAST_FIN_ACTY_ON >= CCA.LAST_STMT_DATE OR CF.LEDGER_BALANCE <> 0.0 OR C.LAST_STS_CHG_ON >= CCA.LAST_STMT_DATE) AND CMF.FOLLOWME_CARD_SRNO IS NULL AND C.CARD_STATUS_ATM = 'F' AND C.CARD_STATUS_POS = 'F')) ORDER BY CARD_SRNO ASC;",455961,45596,10
select site from informix.systables where tabname = ' GL_COLLATE',372151,4710,79
SELECT memtotal FROM sysmaster:sysscblst WHERE sid = dbinfo('sessionid'),188165,804,234
"SELECT TASK.TASK_SRNO,TASK.TASK_ID,TASK.TASK_NAME,TASK.PROCESSOR_NODE_ID,TASK.DB_INTERFACE_ID,TASK.EXECUTION_ORDER,TASK.DEPENDS_ALL_INSTS,TASK.IS_EXTERNALLY_DEFINED,TASK.DELEGATE_DEP_MGMT, TASK.FREQ_TYPE,TASK.FREQ_TYPE_VALUE,TASK.FREQ_TYPE_BITMAP,TASK.CUTOFF_OPTION,TASK.CUTOFF_TIME, TASK.CUTOFF_GRP_SRNO,TASK.NEXT_EXEC_DATE,TASK.BATCH_MODE,TASK.ONLINE_DEDICATED_EXEC, TASK.EXEC_STATUS,TASK.MAX_FAIL_RETRY_COUNT, TASK.LOG_LEVEL_ID,TASK.RECORD_BATCH_SIZE,TASK.SLEEP_TIME_MILLIS,TASK.IMPL_CLASS_NAME,TASK.NORMAL_COMPL_TIME_MINS,TASK.MAX_COMPL_TIME_MINS,TASK.COMPL_TIME_BYPASS_ACTION, TASK.CONT_ON_FAIL_AT_SI,TASK.IS_ACTIVE, TASK.CREATED_AT, TASK.LAST_UPDATED_AT, TASK_INSTANCE.SR_NO,TASK_INSTANCE.INSTANCE_ID,TASK_INSTANCE.TASK_ID,TASK_INSTANCE.EXECUTION_ORDER,TASK_INSTANCE.FREQ_TYPE,TASK_INSTANCE.FREQ_TYPE_VALUE,TASK_INSTANCE.FREQ_TYPE_BITMAP, TASK_INSTANCE.CUTOFF_OPTION,TASK_INSTANCE.CUTOFF_TIME,TASK_INSTANCE.CUTOFF_GRP_SRNO, TASK_INSTANCE.NEXT_EXEC_DATE,TASK_INSTANCE.BATCH_MODE,TASK_INSTANCE.EXEC_STATUS,TASK_INSTANCE.LOG_LEVEL_ID,TASK_INSTANCE.RECORD_BATCH_SIZE,TASK_INSTANCE.SLEEP_TIME_MILLIS, TASK_INSTANCE.NORMAL_COMPL_TIME_MINS,TASK_INSTANCE.MAX_COMPL_TIME_MINS,TASK_INSTANCE.COMPL_TIME_BYPASS_ACTION,TASK_INSTANCE.IS_ALLOWED, TASK_INSTANCE.CREATED_AT, TASK_INSTANCE.LAST_UPDATED_AT FROM SCHD_TASKS TASK INNER JOIN SCHD_TASK_INSTANCES TASK_INSTANCE ON (TASK.TASK_SRNO = TASK_INSTANCE.TASK_ID) WHERE TASK.PROCESSOR_NODE_ID = ? AND TASK.BATCH_MODE = ? AND TASK_INSTANCE.EXEC_STATUS IN (?,?,?,?)  ORDER BY NVL(TASK_INSTANCE.EXECUTION_ORDER, TASK.EXECUTION_ORDER) DESC ,  NVL(TASK_INSTANCE.NORMAL_COMPL_TIME_MINS, TASK.NORMAL_COMPL_TIME_MINS) ASC",54297,2714,20
"SELECT TRACE_AUDIT_NO, CARD_NO, TRANS_DATE, ORG_TRACE_AUDIT, REV_TRACE_AUDIT, FEE_TRACE_AUDIT, SERVICE_ID, ISO_MESSAGE_TYPE, AMOUNT_PROCESSED, RESPONSE_CODE, STATEMENT_DATE, IS_CASH_ADV FROM TRANS_REQUESTS WHERE ( ORG_TRACE_AUDIT IN (SELECT TRACE_AUDIT_NO FROM TRANS_REQUESTS WHERE ORG_TRACE_AUDIT IN (SELECT TRACE_AUDIT_NO FROM TRANS_REQUESTS WHERE TRACE_AUDIT_NO = ? OR ORG_TRACE_AUDIT = ?)) OR ORG_TRACE_AUDIT IN (SELECT TRACE_AUDIT_NO FROM TRANS_REQUESTS WHERE TRACE_AUDIT_NO = ? OR ORG_TRACE_AUDIT = ?) OR TRACE_AUDIT_NO = ? OR ORG_TRACE_AUDIT = ?)",53195,10639,5
"SELECT TASK.TASK_SRNO,TASK.TASK_ID,TASK.TASK_NAME,TASK.PROCESSOR_NODE_ID,TASK.DB_INTERFACE_ID,TASK.EXECUTION_ORDER,TASK.DEPENDS_ALL_INSTS,TASK.IS_EXTERNALLY_DEFINED,TASK.DELEGATE_DEP_MGMT, TASK.FREQ_TYPE,TASK.FREQ_TYPE_VALUE,TASK.FREQ_TYPE_BITMAP,TASK.CUTOFF_OPTION,TASK.CUTOFF_TIME, TASK.CUTOFF_GRP_SRNO,TASK.NEXT_EXEC_DATE,TASK.BATCH_MODE,TASK.ONLINE_DEDICATED_EXEC, TASK.EXEC_STATUS,TASK.MAX_FAIL_RETRY_COUNT, TASK.LOG_LEVEL_ID,TASK.RECORD_BATCH_SIZE,TASK.SLEEP_TIME_MILLIS,TASK.IMPL_CLASS_NAME,TASK.NORMAL_COMPL_TIME_MINS,TASK.MAX_COMPL_TIME_MINS,TASK.COMPL_TIME_BYPASS_ACTION, TASK.CONT_ON_FAIL_AT_SI,TASK.IS_ACTIVE, TASK.CREATED_AT, TASK.LAST_UPDATED_AT, TASK_INSTANCE.SR_NO,TASK_INSTANCE.INSTANCE_ID,TASK_INSTANCE.TASK_ID,TASK_INSTANCE.EXECUTION_ORDER,TASK_INSTANCE.FREQ_TYPE,TASK_INSTANCE.FREQ_TYPE_VALUE,TASK_INSTANCE.FREQ_TYPE_BITMAP, TASK_INSTANCE.CUTOFF_OPTION,TASK_INSTANCE.CUTOFF_TIME, TASK_INSTANCE.CUTOFF_GRP_SRNO, TASK_INSTANCE.NEXT_EXEC_DATE,TASK_INSTANCE.BATCH_MODE,TASK_INSTANCE.EXEC_STATUS,TASK_INSTANCE.LOG_LEVEL_ID,TASK_INSTANCE.RECORD_BATCH_SIZE,TASK_INSTANCE.SLEEP_TIME_MILLIS, TASK_INSTANCE.NORMAL_COMPL_TIME_MINS,TASK_INSTANCE.MAX_COMPL_TIME_MINS,TASK_INSTANCE.COMPL_TIME_BYPASS_ACTION,TASK_INSTANCE.IS_ALLOWED, TASK_INSTANCE.CREATED_AT, TASK_INSTANCE.LAST_UPDATED_AT FROM SCHD_TASKS TASK INNER JOIN SCHD_TASK_INSTANCES TASK_INSTANCE ON (TASK.TASK_SRNO = TASK_INSTANCE.TASK_ID) WHERE TASK_INSTANCE.TASK_ID IN (?,?) AND TASK.IS_ACTIVE = 'Y' AND TASK_INSTANCE.IS_ALLOWED = 'Y'  ORDER BY NVL(TASK_INSTANCE.EXECUTION_ORDER, TASK.EXECUTION_ORDER) DESC ,  NVL(TASK_INSTANCE.NORMAL_COMPL_TIME_MINS, TASK.NORMAL_COMPL_TIME_MINS) ASC",27888,1640,17
"SELECT LINKS.SR_NO, LINKS.ENDPOINT_ID, LINKS.SRV_CNTRL_ID, LINKS.CNTRL_SEL_CRI_ID, LINKS.CONN_SIZE, LINKS.IS_ACTIVE, CTRLS.SERVER_IP, CTRLS.LISTEN_PORT, CTRLS.IS_ACTIVE, CTRLS.CURRENT_RUN_MODE  FROM SRVCS_CLNT_EPS_COMM_LINKS LINKS INNER JOIN SRVCS_CNTRLRS CTRLS ON LINKS.SRV_CNTRL_ID = CTRLS.SRV_CNTRL_ID WHERE LINKS.ENDPOINT_ID = ? AND (LINKS.LAST_UPDATED_AT > ? OR CTRLS.LAST_UPDATED_AT > ?)",18613,3102,6
"SELECT IS_ACTIVE, API_NAME, API_VERSION, API_TIME_OUT, INSTANCE_ID FROM SRVCS_VERSION_CONFIG",18584,3097,6
"SELECT TASK.TASK_SRNO,TASK.TASK_ID,TASK.TASK_NAME,TASK.PROCESSOR_NODE_ID,TASK.DB_INTERFACE_ID,TASK.EXECUTION_ORDER,TASK.DEPENDS_ALL_INSTS,TASK.IS_EXTERNALLY_DEFINED,TASK.DELEGATE_DEP_MGMT, TASK.FREQ_TYPE,TASK.FREQ_TYPE_VALUE,TASK.FREQ_TYPE_BITMAP,TASK.CUTOFF_OPTION,TASK.CUTOFF_TIME, TASK.CUTOFF_GRP_SRNO,TASK.NEXT_EXEC_DATE,TASK.BATCH_MODE,TASK.ONLINE_DEDICATED_EXEC, TASK.EXEC_STATUS,TASK.MAX_FAIL_RETRY_COUNT, TASK.LOG_LEVEL_ID,TASK.RECORD_BATCH_SIZE,TASK.SLEEP_TIME_MILLIS,TASK.IMPL_CLASS_NAME,TASK.NORMAL_COMPL_TIME_MINS,TASK.MAX_COMPL_TIME_MINS,TASK.COMPL_TIME_BYPASS_ACTION, TASK.CONT_ON_FAIL_AT_SI,TASK.IS_ACTIVE, TASK.CREATED_AT, TASK.LAST_UPDATED_AT, TASK_INSTANCE.SR_NO,TASK_INSTANCE.INSTANCE_ID,TASK_INSTANCE.TASK_ID,TASK_INSTANCE.EXECUTION_ORDER,TASK_INSTANCE.FREQ_TYPE,TASK_INSTANCE.FREQ_TYPE_VALUE,TASK_INSTANCE.FREQ_TYPE_BITMAP, TASK_INSTANCE.CUTOFF_OPTION,TASK_INSTANCE.CUTOFF_TIME,TASK_INSTANCE.CUTOFF_GRP_SRNO, TASK_INSTANCE.NEXT_EXEC_DATE,TASK_INSTANCE.BATCH_MODE,TASK_INSTANCE.EXEC_STATUS,TASK_INSTANCE.LOG_LEVEL_ID,TASK_INSTANCE.RECORD_BATCH_SIZE,TASK_INSTANCE.SLEEP_TIME_MILLIS, TASK_INSTANCE.NORMAL_COMPL_TIME_MINS,TASK_INSTANCE.MAX_COMPL_TIME_MINS,TASK_INSTANCE.COMPL_TIME_BYPASS_ACTION,TASK_INSTANCE.IS_ALLOWED, TASK_INSTANCE.CREATED_AT, TASK_INSTANCE.LAST_UPDATED_AT FROM SCHD_TASKS TASK INNER JOIN SCHD_TASK_INSTANCES TASK_INSTANCE ON (TASK.TASK_SRNO = TASK_INSTANCE.TASK_ID) WHERE TASK.PROCESSOR_NODE_ID = ? AND TASK.BATCH_MODE = ? AND TASK_INSTANCE.EXEC_STATUS IN (?,?,?,?,?)  ORDER BY NVL(TASK_INSTANCE.EXECUTION_ORDER, TASK.EXECUTION_ORDER) DESC ,  NVL(TASK_INSTANCE.NORMAL_COMPL_TIME_MINS, TASK.NORMAL_COMPL_TIME_MINS) ASC",18398,1839,10
"SELECT PARAM_ID, PARAM_DEFAULT_VALUE FROM SRVCS_CFG_PARAMS WHERE PARAM_ID IN (?,?,?,?,?,?,?,?,?,?,?,?,?,?) AND IS_ACTIVE = ? AND LAST_UPDATED_AT > ?",18284,3047,6
"SELECT IS_ACTIVE, API_NAME, API_VERSION, API_TIME_OUT, IS_BATCH_SERV, IS_AUTO_REV_REQ  FROM SRVCS_VERSION_CONFIG",17873,2978,6
"SELECT EPS.ENDPOINT_ID, EPS.ENDPOINT_NAME, EPS.ENDPOINT_URL, EPS.LISTEN_PORT, EPS.MSG_COMM_OPT_ID, COMM_OPTS.COMM_PROTCL_ID, COMM_OPTS.MSG_FMT_ID, EPS.DB_INTERFACE_ID, EPS.FAULTY_SERVER_RESTORE_TIME_MILLIS, EPS.VALDT_CONN_POOL_PART, EPS.VALDT_CONN_TIME_MILLIS, EPS.VALDT_CONN_FAIL_ALLOW_TRIES, EPS.VALDT_CONN_FAIL_TRY_TIME_MILLIS, EPS.REQUEST_MSG_TIMEOUT_MILLIS, EPS.LOG_FAIL_COMM_REQS, EPS.DFLT_LOG_INST_ID, EPS.SEND_ADMIN_ALERT, EPS.LOG_LEVEL, EPS.CONFIG_REFRESHER_TIME_MILLS, EPS.MSG_READ_TIMEOUT_MILLIS, EPS.AUTO_REV_MAX_TRIES, EPS.AUTO_REV_THPOOL_SIZE, EPS.AUTO_REV_TRY_WAIT_TIME_MILLIS, EPS.IS_ACTIVE, COMM_OPTS.IS_ACTIVE FROM SRVCS_CLNT_EPS EPS, B_SRVCS_COMM_LINK_OPTS COMM_OPTS WHERE EPS.MSG_COMM_OPT_ID =  COMM_OPTS.MSG_COMM_OPT_ID AND  EPS.ENDPOINT_ID = ? AND EPS.LAST_UPDATED_AT > ?",16450,2741,6
"SELECT SR_NO, NODE_ID,NODE_NAME,NODE_IP,NODE_HOST_NAME,NODE_DESC,RAM_CAPACITY,HD_CAPACITY,MAX_THREAD_LIMIT,OS_TYPE,OS_VERSION,DATACENTER_ID,CURRENT_RUN_MODE,LAST_START_AT,LAST_SHUTDOWN_AT,CURRENTLY_RUNNING, LAST_START_AT, IS_ACTIVE FROM SCHD_NODES WHERE NODE_ID = ?",16234,811,20
"SELECT ACQUIRER_ID, ACQ_TIME_OUT, IS_ENABLED FROM WS_ACQUIRERS ",16076,16076,1
"UPDATE SERV_HORZ_MARKER SET STATEMENT_DATE = STATEMENT_DATE, TASK_ID = TASK_ID WHERE STATEMENT_DATE = ? AND TASK_ID = ?",15979,1452,11
SELECT CURRENT FROM SYSTABLES WHERE TABID = 1,15590,820,19
"select attr_id, attr_desc, attr_abrv, is_active , src_table_name, src_column_name, src_column_key_name, src_column_data_type from b_attribute_ids",14479,2413,6
"SELECT IS_ACTIVE, API_NAME, API_VERSION, API_TIME_OUT, INSTANCE_ID, INTERFACE_ID FROM SRVCS_VERSION_CONFIG",14425,2404,6
"SELECT  DISTINCT TASK_ID AS PARENT, PRE_REQ_TASK_ID AS CHILD FROM SCHD_TASKS_DEPENDENCIES WHERE IS_ACTIVE = ? START WITH TASK_ID IN (?) CONNECT BY  TASK_ID =   PRIOR PRE_REQ_TASK_ID",11894,1699,7
"SELECT ACQUIRER_ID, ACQ_TIME_OUT, IS_ENABLED FROM WS_ACQUIRERS  WHERE LAST_UPDATED_AT >= ?",10233,2046,5
